1856.996,-0.482,-0.565,-0.413,-0.647,-0.317,-0.965,0.001,-0.670,-0.302,-1.002,0.031
1857.083,-0.574,-0.642,-0.486,-0.755,-0.393,-1.145,-0.004,-0.771,-0.379,-1.179,0.028
1857.166,-0.194,-0.280,-0.117,-0.373,-0.016,-0.865,0.477,-0.395,0.001,-0.896,0.503
1857.249,-0.387,-0.469,-0.331,-0.560,-0.214,-0.801,0.027,-0.578,-0.204,-0.844,0.064
1857.332,-0.694,-0.761,-0.626,-0.859,-0.530,-1.007,-0.381,-0.877,-0.515,-1.056,-0.334
1857.415,-0.589,-0.672,-0.540,-0.753,-0.426,-0.829,-0.350,-0.769,-0.417,-0.889,-0.295
1857.498,-0.223,-0.302,-0.168,-0.387,-0.059,-0.451,0.005,-0.405,-0.049,-0.516,0.063
1857.581,-0.439,-0.509,-0.380,-0.610,-0.267,-0.683,-0.194,-0.626,-0.257,-0.748,-0.135
1857.664,-0.167,-0.242,-0.112,-0.347,0.014,-0.379,0.046,-0.365,0.019,-0.459,0.113
1857.747,-0.391,-0.460,-0.326,-0.565,-0.217,-0.700,-0.082,-0.580,-0.205,-0.754,-0.031
1857.83,-0.408,-0.504,-0.335,-0.583,-0.232,-0.752,-0.063,-0.605,-0.217,-0.805,-0.014
1857.913,-0.698,-0.773,-0.634,-0.871,-0.525,-1.055,-0.341,-0.889,-0.512,-1.104,-0.296
1857.996,-0.149,-0.248,-0.089,-0.334,0.036,-0.736,0.439,-0.363,0.044,-0.780,0.464
1858.083,-0.297,-0.371,-0.214,-0.486,-0.108,-0.902,0.309,-0.503,-0.093,-0.939,0.340
1858.166,-0.813,-0.896,-0.739,-0.997,-0.628,-1.413,-0.213,-1.021,-0.614,-1.451,-0.184
1858.249,-0.624,-0.724,-0.568,-0.799,-0.448,-1.078,-0.170,-0.827,-0.440,-1.126,-0.139
1858.332,-0.281,-0.354,-0.214,-0.467,-0.094,-0.584,0.022,-0.482,-0.082,-0.645,0.082
1858.415,-0.383,-0.468,-0.328,-0.551,-0.214,-0.628,-0.138,-0.568,-0.204,-0.691,-0.080
1858.498,-0.460,-0.543,-0.405,-0.633,-0.287,-0.701,-0.220,-0.652,-0.277,-0.769,-0.158
1858.581,-0.168,-0.244,-0.114,-0.347,0.011,-0.418,0.082,-0.362,0.019,-0.485,0.144
1858.664,-0.369,-0.443,-0.314,-0.539,-0.200,-0.579,-0.159,-0.556,-0.193,-0.651,-0.096
1858.747,-0.475,-0.557,-0.414,-0.656,-0.295,-0.782,-0.168,-0.677,-0.286,-0.845,-0.117
1858.83,0.052,-0.045,0.119,-0.136,0.241,-0.290,0.394,-0.158,0.253,-0.351,0.448
1858.913,-0.859,-0.948,-0.797,-1.044,-0.673,-1.251,-0.467,-1.065,-0.663,-1.304,-0.423
1858.996,-0.178,-0.270,-0.104,-0.366,0.009,-0.748,0.391,-0.391,0.021,-0.790,0.422
1859.083,-0.217,-0.297,-0.133,-0.409,-0.025,-0.930,0.496,-0.430,-0.009,-0.963,0.524
1859.166,-0.016,-0.096,0.076,-0.206,0.175,-0.711,0.679,-0.226,0.198,-0.740,0.713
1859.249,-0.192,-0.292,-0.135,-0.370,-0.013,-0.652,0.269,-0.394,-0.003,-0.698,0.303
1859.332,0.024,-0.058,0.099,-0.158,0.206,-0.330,0.378,-0.177,0.222,-0.383,0.429
